,Model,Window,Neutral,Train Score,Test Score,Params
1,XGBoost,2,1,-0.00031776217102334856,-0.24409229851284753,"{'colsample_bytree': 0.9602788913742213, 'gamma': 1.6374688695549722, 'learning_rate': 0.4384360221894481, 'max_depth': 10, 'min_child_weight': 14.409487642249553, 'n_estimators': 28, 'reg_alpha': 0.07666722367996588, 'subsample': 0.9565065166298672}"
0,Random Forest,2,0,-0.00032712859374792045,-0.3546706821794934,"{'max_depth': 2, 'n_estimators': 47}"
0,Random Forest,3,1,-0.00032777459492811304,-0.426097523389499,"{'max_depth': 4, 'n_estimators': 48}"
1,XGBoost,2,0,-0.0003277981717156169,-0.5288256920496255,"{'colsample_bytree': 0.9737740557521867, 'gamma': 0.8308383939980968, 'learning_rate': 0.31700254466591143, 'max_depth': 24, 'min_child_weight': 12.956073102673116, 'n_estimators': 31, 'reg_alpha': 0.3073273340133142, 'subsample': 0.9759125400887863}"
0,Random Forest,5,1,-0.00034143908029950844,-0.020770351285326116,"{'max_depth': 9, 'n_estimators': 62}"
0,Random Forest,4,1,-0.0003444826263541351,-0.6248806235607756,"{'max_depth': 2, 'n_estimators': 53}"
0,Random Forest,1,1,-0.0003462177028402973,-0.3229717672700856,"{'max_depth': 4, 'n_estimators': 63}"
3,Catboost,3,1,-0.0003509462560108814,-0.0833782436942272,{}
0,Random Forest,1,0,-0.0003514024317605479,-0.16332884908547718,"{'max_depth': 3, 'n_estimators': 60}"
0,Random Forest,2,1,-0.0003523731433842536,-0.2873052630156996,"{'max_depth': 4, 'n_estimators': 20}"
0,Random Forest,5,0,-0.0003540115874017683,0.021176290425476862,"{'max_depth': 3, 'n_estimators': 10}"
0,Random Forest,3,0,-0.0003624136517782197,-0.698534786728191,"{'max_depth': 2, 'n_estimators': 20}"
3,Catboost,5,1,-0.0003624450823244394,-0.23533629950597112,{}
3,Catboost,4,1,-0.0003655764980211758,-0.5687664173575784,{}
3,Catboost,1,0,-0.0003774910146933897,-0.11066308498118382,{}
1,XGBoost,4,0,-0.00037758726979799664,-0.9474255525626214,"{'colsample_bytree': 0.8766903283070587, 'gamma': 6.601219654156162, 'learning_rate': 0.4074239992553181, 'max_depth': 19, 'min_child_weight': 3.746445333046492, 'n_estimators': 26, 'reg_alpha': 0.6572679972724349, 'subsample': 0.7811051021746467}"
3,Catboost,2,0,-0.0003790623088458444,-0.9403010107253831,{}
3,Catboost,2,1,-0.00038293550543217294,-0.23902149203950818,{}
0,Random Forest,4,0,-0.00038793372450241957,-0.5116390920776304,"{'max_depth': 3, 'n_estimators': 55}"
3,Catboost,3,0,-0.00038906160691051,-0.6483441835789534,{}
3,Catboost,1,1,-0.0003920792960275687,-0.5815959962867134,{}
3,Catboost,4,0,-0.0003968099488505927,-0.4202693164263813,{}
1,XGBoost,1,1,-0.00041989215003753285,-0.6218387116701645,"{'colsample_bytree': 0.7551199935415116, 'gamma': 9.235284590719557, 'learning_rate': 0.3370599295759167, 'max_depth': 3, 'min_child_weight': 5.627636084886646, 'n_estimators': 15, 'reg_alpha': 0.7583426989423825, 'subsample': 0.7851067435192607}"
3,Catboost,5,0,-0.00044702187663305117,-0.2859160112227339,{}
1,XGBoost,3,0,-0.0004848951203195433,-0.7438655721439178,"{'colsample_bytree': 0.9505619425961003, 'gamma': 7.894063276150394, 'learning_rate': 0.2320111841097961, 'max_depth': 3, 'min_child_weight': 3.626877960485925, 'n_estimators': 58, 'reg_alpha': 1.1547053977242028, 'subsample': 0.9634567585556262}"
1,XGBoost,1,0,-0.0005441903226771629,-0.5991698642235375,"{'colsample_bytree': 0.9739218549120155, 'gamma': 4.935950402935651, 'learning_rate': 0.4120831157585311, 'max_depth': 3, 'min_child_weight': 11.358219402598694, 'n_estimators': 61, 'reg_alpha': 1.5383786326054827, 'subsample': 0.9894564101950278}"
4,Support Vector,1,1,-0.0006636543763841112,-1.880755537110677,{'C': 2.5621727727073784}
4,Support Vector,2,1,-0.000670052564017897,-1.7907282557118496,{'C': 5.790804627962573}
4,Support Vector,1,0,-0.0006728449098608138,-1.7574742258957077,{'C': 9.136040243153756}
4,Support Vector,2,0,-0.0006730875589478501,-2.536258709412952,{'C': 4.825729316043976}
4,Support Vector,5,0,-0.000708179563294889,-3.5974337078829057,{'C': 7.455850073370362}
1,XGBoost,5,1,-0.0007127823859378285,-1.5369863821368912,"{'colsample_bytree': 0.9092259102100556, 'gamma': 4.978274126607875, 'learning_rate': 0.21781574832690165, 'max_depth': 14, 'min_child_weight': 4.841203991733389, 'n_estimators': 98, 'reg_alpha': 1.504325413504517, 'subsample': 0.8298981512847413}"
4,Support Vector,4,0,-0.0007233483640845999,-3.5437538658811487,{'C': 10.031105203659592}
1,XGBoost,5,0,-0.0007252153017839356,-1.6299659689733157,"{'colsample_bytree': 0.9858436387773928, 'gamma': 4.877236214651114, 'learning_rate': 0.3350086601586339, 'max_depth': 21, 'min_child_weight': 11.814400046111839, 'n_estimators': 18, 'reg_alpha': 1.2368353351837724, 'subsample': 0.7163562942749429}"
4,Support Vector,5,1,-0.0007313668729328983,-3.9409027720625165,{'C': 8.675655360453725}
4,Support Vector,3,1,-0.0007434417415206922,-2.482357706029321,{'C': 0.8379950565040771}
4,Support Vector,3,0,-0.0007500099360614844,-2.3195046165268063,{'C': 1.4119120779585692}
4,Support Vector,4,1,-0.0007504617147430039,-3.676930896703329,{'C': 8.953157141290315}
1,XGBoost,3,1,-0.0008740011655812843,-1.378488963326201,"{'colsample_bytree': 0.8888035367233289, 'gamma': 3.449819854485794, 'learning_rate': 0.1874956981819355, 'max_depth': 4, 'min_child_weight': 17.9062925982119, 'n_estimators': 80, 'reg_alpha': 2.2533039871163663, 'subsample': 0.9841399379520175}"
1,XGBoost,4,1,-0.003163738057610112,-4.604270826495386,"{'colsample_bytree': 0.9576726321638132, 'gamma': 8.262048916742659, 'learning_rate': 0.35054536712772516, 'max_depth': 12, 'min_child_weight': 6.590118584229444, 'n_estimators': 55, 'reg_alpha': 4.584142313942034, 'subsample': 0.9086526452881595}"
