,Model,Window,Neutral,Train Score,Test Score,Params
2,LightGBM,4,0,-0.0002767688900615048,-0.46122929467033846,"{'colsample_bytree': 0.8856577329473848, 'gamma': 3.6013544052084923, 'learning_rate': 0.3758676261960617, 'max_depth': 3, 'min_child_weight': 10.673440411307277, 'n_estimators': 88, 'reg_alpha': 6.731584675179195, 'subsample': 0.8985245815075779}"
2,LightGBM,3,1,-0.00027701061126094513,-0.32590382636042103,"{'colsample_bytree': 0.9619452745919179, 'gamma': 4.322266919878999, 'learning_rate': 0.4372849271878025, 'max_depth': 4, 'min_child_weight': 2.3826881300886362, 'n_estimators': 98, 'reg_alpha': 3.4618205641436104, 'subsample': 0.9617979854298839}"
2,LightGBM,3,0,-0.0002770378180781678,-0.26078741582909104,"{'colsample_bytree': 0.675311554952436, 'gamma': 5.724090943697377, 'learning_rate': 0.08995844451999406, 'max_depth': 20, 'min_child_weight': 5.473519799567251, 'n_estimators': 74, 'reg_alpha': 2.482836502732961, 'subsample': 0.7781901227653004}"
2,LightGBM,4,1,-0.00027855264710828075,-0.5585988323062501,"{'colsample_bytree': 0.9816830327385575, 'gamma': 2.1614640725552814, 'learning_rate': 0.03148430307326366, 'max_depth': 21, 'min_child_weight': 7.658865556913343, 'n_estimators': 53, 'reg_alpha': 4.9865655114693, 'subsample': 0.7352285899164377}"
2,LightGBM,5,1,-0.0002787571964900721,-0.3752595663132394,"{'colsample_bytree': 0.7995241815874387, 'gamma': 4.09841608285314, 'learning_rate': 0.23485216513788348, 'max_depth': 8, 'min_child_weight': 20.199553484934157, 'n_estimators': 82, 'reg_alpha': 8.4247944120769, 'subsample': 0.9431679381210523}"
2,LightGBM,5,0,-0.0002824327442226522,-0.3020547576293988,"{'colsample_bytree': 0.9680016518579571, 'gamma': 4.0065626525615645, 'learning_rate': 0.2349576122955992, 'max_depth': 16, 'min_child_weight': 4.351419460774261, 'n_estimators': 35, 'reg_alpha': 4.411474195496665, 'subsample': 0.952977629679902}"
2,LightGBM,1,0,-0.00031602717002653905,-0.14368129516115946,"{'colsample_bytree': 0.9449186502030844, 'gamma': 5.718483974224489, 'learning_rate': 0.37070523796134336, 'max_depth': 13, 'min_child_weight': 18.78649412119168, 'n_estimators': 75, 'reg_alpha': 1.8460441233883473, 'subsample': 0.8361212951185109}"
2,LightGBM,2,1,-0.00031604553449349963,-0.16396910899111194,"{'colsample_bytree': 0.8800351982692248, 'gamma': 8.519044009289603, 'learning_rate': 0.4812389044078623, 'max_depth': 15, 'min_child_weight': 5.306659659140415, 'n_estimators': 22, 'reg_alpha': 4.706846773651585, 'subsample': 0.8828007235721198}"
2,LightGBM,1,1,-0.0003161233130304719,-0.16547192141470202,"{'colsample_bytree': 0.9709163308132353, 'gamma': 4.769129582442653, 'learning_rate': 0.23997079481308997, 'max_depth': 24, 'min_child_weight': 9.932488759611548, 'n_estimators': 58, 'reg_alpha': 2.919538051831611, 'subsample': 0.866940256501805}"
2,LightGBM,2,0,-0.0003173748986780211,-0.3182786058695801,"{'colsample_bytree': 0.7791286869540331, 'gamma': 4.789807174708653, 'learning_rate': 0.4279469488456941, 'max_depth': 20, 'min_child_weight': 12.800984666129029, 'n_estimators': 63, 'reg_alpha': 2.9937701395008727, 'subsample': 0.9349511987978549}"
