,Model,Window,Neutral,Train Score,Test Score,Params
0,Random Forest,3,1,0.5866414884634324,0.7916666666666666,"{'max_depth': 22, 'n_estimators': 50}"
0,Random Forest,2,1,0.5815033718888141,0.5054945054945055,"{'max_depth': 8, 'n_estimators': 52}"
2,LightGBM,1,0,0.5721865312592578,0.5721153846153846,"{'colsample_bytree': 0.8567967099486709, 'gamma': 8.534656778088218, 'learning_rate': 0.052298456335397196, 'max_depth': 22, 'min_child_weight': 1.7985308860322138, 'n_estimators': 13, 'reg_alpha': 0.5584806163085043, 'subsample': 0.9282360898528735}"
3,Catboost,2,1,0.571687250316122,0.5054945054945055,{}
0,Random Forest,5,0,0.5710733481581939,0.45,"{'max_depth': 10, 'n_estimators': 13}"
0,Random Forest,5,1,0.570609064842077,0.5111111111111112,"{'max_depth': 16, 'n_estimators': 22}"
2,LightGBM,4,0,0.5641405222566481,0.44,"{'colsample_bytree': 0.9580338418731638, 'gamma': 7.484319325421484, 'learning_rate': 0.34932882945259697, 'max_depth': 19, 'min_child_weight': 6.700056305022645, 'n_estimators': 72, 'reg_alpha': 1.1195119520567498, 'subsample': 0.993489693165233}"
0,Random Forest,4,0,0.5584849399529928,0.48,"{'max_depth': 2, 'n_estimators': 39}"
1,XGBoost,5,1,0.5542712247466305,0.7333333333333334,"{'colsample_bytree': 0.9677886140318158, 'gamma': 0.29812378019125507, 'learning_rate': 0.11896181984866581, 'max_depth': 5, 'min_child_weight': 2.9287197326904626, 'n_estimators': 11, 'reg_alpha': 2.294709137524845, 'subsample': 0.9433852978052838}"
1,XGBoost,1,0,0.5536242193371765,0.548076923076923,"{'colsample_bytree': 0.95568875502126, 'gamma': 0.0750450877183384, 'learning_rate': 0.03435430359388835, 'max_depth': 3, 'min_child_weight': 3.1497172488855942, 'n_estimators': 43, 'reg_alpha': 2.899139079542998, 'subsample': 0.9809416558401751}"
2,LightGBM,5,0,0.5535953910897197,0.3,"{'colsample_bytree': 0.9336361247529623, 'gamma': 7.584318399224287, 'learning_rate': 0.3640506648866064, 'max_depth': 20, 'min_child_weight': 7.1323464186530945, 'n_estimators': 24, 'reg_alpha': 0.5065776587767712, 'subsample': 0.9890372729856329}"
0,Random Forest,1,0,0.5517648759636484,0.5625,"{'max_depth': 16, 'n_estimators': 19}"
