,Model,Window,Neutral,Train Score,Test Score,Params
2,LightGBM,3,1,0.5422881212354896,0.7222222222222222,"{'colsample_bytree': 0.9725756842160354, 'gamma': 7.057891759233908, 'learning_rate': 0.07359007451863274, 'max_depth': 19, 'min_child_weight': 18.521288264422925, 'n_estimators': 16, 'reg_alpha': 0.3148846864309462, 'subsample': 0.9461432606130389}"
1,XGBoost,4,0,0.5387905215136451,0.42,"{'colsample_bytree': 0.8822421719148401, 'gamma': 0.3696537248391918, 'learning_rate': 0.05019682795983287, 'max_depth': 5, 'min_child_weight': 10.061257794863273, 'n_estimators': 84, 'reg_alpha': 0.7482038140016356, 'subsample': 0.8750351882519899}"
2,LightGBM,5,1,0.5369859480445179,0.5333333333333333,"{'colsample_bytree': 0.912680930592064, 'gamma': 0.5726750105616507, 'learning_rate': 0.4336174997753372, 'max_depth': 23, 'min_child_weight': 6.497178549702739, 'n_estimators': 22, 'reg_alpha': 2.0130188023346274, 'subsample': 0.980298034067941}"
1,XGBoost,3,0,0.5369604566972989,0.803030303030303,"{'colsample_bytree': 0.96007606730492, 'gamma': 1.411118557485952, 'learning_rate': 0.3171587787540716, 'max_depth': 11, 'min_child_weight': 7.0873721349781444, 'n_estimators': 75, 'reg_alpha': 3.580614101478988, 'subsample': 0.9162239596196727}"
3,Catboost,5,0,0.5331692520610398,0.35,{}
2,LightGBM,4,1,0.5304042049162664,0.4818181818181818,"{'colsample_bytree': 0.988568080131838, 'gamma': 6.129821490380699, 'learning_rate': 0.13119099524465422, 'max_depth': 21, 'min_child_weight': 4.699148242712205, 'n_estimators': 56, 'reg_alpha': 8.954378614821966, 'subsample': 0.8758693043913746}"
1,XGBoost,3,1,0.5295758994825208,0.6041666666666666,"{'colsample_bytree': 0.9240379416962303, 'gamma': 4.27488206920314, 'learning_rate': 0.2985747558549014, 'max_depth': 12, 'min_child_weight': 5.164770184699817, 'n_estimators': 63, 'reg_alpha': 2.568570167570344, 'subsample': 0.9470219647751158}"
2,LightGBM,2,0,0.5270085776462508,0.6987179487179487,"{'colsample_bytree': 0.985970159211503, 'gamma': 0.5869975552366813, 'learning_rate': 0.06167027809899094, 'max_depth': 9, 'min_child_weight': 1.3059244366830849, 'n_estimators': 12, 'reg_alpha': 8.846648076699534, 'subsample': 0.9646084473904646}"
3,Catboost,5,1,0.5260293734888055,0.48888888888888893,{}
2,LightGBM,1,1,0.5237600790103185,0.4285714285714286,"{'colsample_bytree': 0.9994389046403861, 'gamma': 6.784899701563959, 'learning_rate': 0.46712285675053117, 'max_depth': 6, 'min_child_weight': 13.951306045298331, 'n_estimators': 33, 'reg_alpha': 7.317686031973187, 'subsample': 0.7483826817139744}"
2,LightGBM,3,0,0.5218382490903005,0.7424242424242423,"{'colsample_bytree': 0.9745020395247017, 'gamma': 7.508415270923516, 'learning_rate': 0.2685860563706023, 'max_depth': 14, 'min_child_weight': 2.6733354780969756, 'n_estimators': 32, 'reg_alpha': 3.6636394133057313, 'subsample': 0.6262960576996556}"
1,XGBoost,5,0,0.5208997271213696,0.5875000000000001,"{'colsample_bytree': 0.9484048119040798, 'gamma': 1.0794454725687197, 'learning_rate': 0.030324983427829126, 'max_depth': 24, 'min_child_weight': 12.678432584165146, 'n_estimators': 44, 'reg_alpha': 3.723670394997981, 'subsample': 0.941319592477105}"
0,Random Forest,1,1,0.5195256337248028,0.4553571428571428,"{'max_depth': 15, 'n_estimators': 92}"
3,Catboost,1,0,0.5188657962784544,0.6442307692307692,{}
1,XGBoost,1,1,0.5174688340266652,0.37946428571428575,"{'colsample_bytree': 0.9672550152916416, 'gamma': 5.761412674721575, 'learning_rate': 0.3829860844212124, 'max_depth': 7, 'min_child_weight': 3.637014001678293, 'n_estimators': 18, 'reg_alpha': 0.39015245909886137, 'subsample': 0.9770922066334518}"
1,XGBoost,2,1,0.5170898313223788,0.6923076923076923,"{'colsample_bytree': 0.6246970615446933, 'gamma': 2.9596581860060933, 'learning_rate': 0.141322886698022, 'max_depth': 10, 'min_child_weight': 2.7165896853318485, 'n_estimators': 69, 'reg_alpha': 2.0778458008962706, 'subsample': 0.9462315506216736}"
0,Random Forest,3,0,0.5162516322444873,0.5833333333333334,"{'max_depth': 21, 'n_estimators': 59}"
1,XGBoost,2,0,0.5122171408474736,0.7243589743589745,"{'colsample_bytree': 0.9309633272449906, 'gamma': 0.04099518535896962, 'learning_rate': 0.06370377030126893, 'max_depth': 7, 'min_child_weight': 9.99714817881165, 'n_estimators': 49, 'reg_alpha': 5.80666080319785, 'subsample': 0.844635388313635}"
3,Catboost,3,1,0.510425339610399,0.7777777777777779,{}
0,Random Forest,2,0,0.5091765688046187,0.5384615384615385,"{'max_depth': 6, 'n_estimators': 11}"
2,LightGBM,2,1,0.5044085184850523,0.6043956043956044,"{'colsample_bytree': 0.9774996902316346, 'gamma': 6.055642556100311, 'learning_rate': 0.317332747988662, 'max_depth': 13, 'min_child_weight': 9.836652051428418, 'n_estimators': 21, 'reg_alpha': 7.307203980992877, 'subsample': 0.6785084083115223}"
1,XGBoost,4,1,0.5039077913639317,0.28181818181818186,"{'colsample_bytree': 0.9827119448761025, 'gamma': 0.019406253705963605, 'learning_rate': 0.1651605336389197, 'max_depth': 4, 'min_child_weight': 19.705336200612148, 'n_estimators': 61, 'reg_alpha': 8.862279993727892, 'subsample': 0.9479876971504126}"
0,Random Forest,4,1,0.49727826348440396,0.509090909090909,"{'max_depth': 2, 'n_estimators': 17}"
3,Catboost,1,1,0.4854393932907204,0.40178571428571425,{}
3,Catboost,3,0,0.48206323230941217,0.6060606060606061,{}
3,Catboost,4,0,0.4640229080137802,0.5,{}
3,Catboost,2,0,0.4467193353599978,0.5384615384615384,{}
3,Catboost,4,1,0.42262038887038894,0.4727272727272727,{}
