,Model,Window,Neutral,Train Score,Test Score,Params,Estimator
2,LightGBM,5,1,0.5813958682249124,0.5416666666666666,"{'colsample_bytree': 0.9259741698518746, 'gamma': 0.8604970829844893, 'learning_rate': 0.5024887744847394, 'max_depth': 24, 'min_child_weight': 1.78289513636695, 'n_estimators': 24, 'reg_alpha': 0.7347885373167184, 'subsample': 0.9317651424300998}","LGBMClassifier(boosting_type='gbdt', class_weight=None,
        colsample_bytree=0.9259741698518746, gamma=0.8604970829844893,
        importance_type='split', learning_rate=0.5024887744847394,
        max_depth=24, min_child_samples=20,
        min_child_weight=1.78289513636695, min_split_gain=0.0,
        n_estimators=24, n_jobs=-1, num_leaves=31, objective=None,
        random_state=None, reg_alpha=0.7347885373167184, reg_lambda=0.0,
        silent=True, subsample=0.9317651424300998,
        subsample_for_bin=200000, subsample_freq=0)"
1,XGBoost,5,1,0.5485044306184012,0.5416666666666666,"{'colsample_bytree': 0.9565661314478052, 'gamma': 4.140010044022268, 'learning_rate': 0.12495600115696225, 'max_depth': 14, 'min_child_weight': 9.608085888977712, 'n_estimators': 37, 'reg_alpha': 1.4073642017682242, 'subsample': 0.9484241914612009}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.9565661314478052, gamma=4.140010044022268,
       learning_rate=0.12495600115696225, max_delta_step=0, max_depth=14,
       min_child_weight=9.608085888977712, missing=None, n_estimators=37,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=1.4073642017682242, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9484241914612009)"
2,LightGBM,5,0,0.5468085499059764,0.5555555555555556,"{'colsample_bytree': 0.8916389607913698, 'gamma': 5.932794233048336, 'learning_rate': 0.44551357067175473, 'max_depth': 10, 'min_child_weight': 2.5248891299168688, 'n_estimators': 93, 'reg_alpha': 1.6975134102906997, 'subsample': 0.8998520418029475}","LGBMClassifier(boosting_type='gbdt', class_weight=None,
        colsample_bytree=0.8916389607913698, gamma=5.932794233048336,
        importance_type='split', learning_rate=0.44551357067175473,
        max_depth=10, min_child_samples=20,
        min_child_weight=2.5248891299168688, min_split_gain=0.0,
        n_estimators=93, n_jobs=-1, num_leaves=31, objective=None,
        random_state=None, reg_alpha=1.6975134102906997, reg_lambda=0.0,
        silent=True, subsample=0.8998520418029475,
        subsample_for_bin=200000, subsample_freq=0)"
1,XGBoost,5,0,0.5444255193336075,0.42361111111111116,"{'colsample_bytree': 0.7624073305666705, 'gamma': 0.026413222257829494, 'learning_rate': 0.4738118209866351, 'max_depth': 16, 'min_child_weight': 5.831173783122362, 'n_estimators': 71, 'reg_alpha': 8.613490521503126, 'subsample': 0.9137146206265498}","XGBClassifier(base_score=0.5, booster='gbtree', colsample_bylevel=1,
       colsample_bytree=0.7624073305666705, gamma=0.026413222257829494,
       learning_rate=0.4738118209866351, max_delta_step=0, max_depth=16,
       min_child_weight=5.831173783122362, missing=None, n_estimators=71,
       n_jobs=1, nthread=None, objective='binary:logistic', random_state=0,
       reg_alpha=8.613490521503126, reg_lambda=1, scale_pos_weight=1,
       seed=None, silent=True, subsample=0.9137146206265498)"
0,Random Forest,4,1,0.5432520390149067,0.3974358974358974,"{'max_depth': 11, 'n_estimators': 17}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=11, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=17, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,3,1,0.5346210652093004,0.24725274725274723,"{'max_depth': 2, 'n_estimators': 20}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=2, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=20, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,5,1,0.5311002600340836,0.4305555555555556,"{'max_depth': 23, 'n_estimators': 32}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=23, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=32, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,3,0,0.5272847250788427,0.2747252747252747,"{'max_depth': 5, 'n_estimators': 24}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=5, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=24, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,5,0,0.525520260989011,0.4722222222222222,"{'max_depth': 2, 'n_estimators': 62}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=2, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=62, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
0,Random Forest,4,0,0.5248268918581419,0.2948717948717949,"{'max_depth': 19, 'n_estimators': 24}","RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=19, max_features='auto', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=24, n_jobs=None,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)"
